Mid,Platform,Title,URL
0,line_TV,HIStory3-圈套01 四年前的真相｜線上看｜BL館｜LINE TV-精彩隨看,https://www.linetv.tw/drama/10000
1,line_TV,中國傳世經典名劇第1集｜免費線上看｜陸劇｜LINE TV-精彩隨看,https://www.linetv.tw/drama/10001
2,line_TV,刀劍神域第三季 Alicization篇第1集｜免費線上看｜動漫｜LINE TV-精彩隨看,https://www.linetv.tw/drama/10002
3,line_TV,關於我轉生變成史萊姆這檔事第1話｜免費線上看｜動漫｜LINE TV-精彩隨看,https://www.linetv.tw/drama/10003
4,line_TV,哥布林殺手第1集｜免費線上看｜動漫｜LINE TV-精彩隨看,https://www.linetv.tw/drama/10004
5,line_TV,魔法禁書目錄 第3季第1集｜免費線上看｜動漫｜LINE TV-精彩隨看,https://www.linetv.tw/drama/10005
6,line_TV,FAIRY TAIL魔導少年 最終章第1集｜免費線上看｜動漫｜LINE TV-精彩隨看,https://www.linetv.tw/drama/10006
7,line_TV,書店裡的骷髏店員本田第1集｜免費線上看｜動漫｜LINE TV-精彩隨看,https://www.linetv.tw/drama/10007
8,line_TV,JoJo的奇妙冒險 第四季：黃金之風第1集｜免費線上看｜動漫｜LINE TV-精彩隨看,https://www.linetv.tw/drama/10008
9,line_TV,SSSS.GRIDMAN第1集｜免費線上看｜動漫｜LINE TV-精彩隨看,https://www.linetv.tw/drama/10009
10,line_TV,青春豬頭少年不會夢到兔女郎學姊第1集｜免費線上看｜動漫｜LINE TV-精彩隨看,https://www.linetv.tw/drama/10010
11,line_TV,家有女友第1集｜免費線上看｜動漫｜LINE TV-精彩隨看,https://www.linetv.tw/drama/10011
12,line_TV,醉後愛上你2(Together With Me The Next Chapter)第1集｜免費線上看｜BL館｜LINE TV-精彩隨看,https://www.linetv.tw/drama/10012
13,line_TV,游泳先生第1集｜免費線上看｜陸劇｜LINE TV-精彩隨看,https://www.linetv.tw/drama/10013
14,line_TV,屍家路第1集｜免費線上看｜電影｜LINE TV-精彩隨看,https://www.linetv.tw/drama/10015
15,line_TV,午夜魅影第1集｜免費線上看｜電影｜LINE TV-精彩隨看,https://www.linetv.tw/drama/10016
16,line_TV,圓夢陰陽界第1集｜免費線上看｜電影｜LINE TV-精彩隨看,https://www.linetv.tw/drama/10017
17,line_TV,法醫秦明之倖存者第1集｜免費線上看｜陸劇｜LINE TV-精彩隨看,https://www.linetv.tw/drama/10022
18,line_TV,十年追殺令第1集｜線上看｜LINE TV-精彩隨看,https://www.linetv.tw/drama/10023
19,line_TV,嚕嚕米冬日樂園 (英語版配音)第1集｜線上看｜LINE TV-精彩隨看,https://www.linetv.tw/drama/10024
20,line_TV,嚕嚕米冬日樂園 (國語配音版)第1集｜線上看｜LINE TV-精彩隨看,https://www.linetv.tw/drama/10025
21,line_TV,獄火重生：金昌洙 第1集｜線上看｜LINE TV-精彩隨看,https://www.linetv.tw/drama/10026
22,line_TV,異種突變殺人魔第1集｜線上看｜LINE TV-精彩隨看,https://www.linetv.tw/drama/10027
23,line_TV,極致詛咒第1集｜線上看｜LINE TV-精彩隨看,https://www.linetv.tw/drama/10028
24,line_TV,詛咒殭屍第1集｜線上看｜LINE TV-精彩隨看,https://www.linetv.tw/drama/10029
25,line_TV,索命傳說第1集｜線上看｜LINE TV-精彩隨看,https://www.linetv.tw/drama/10030
26,line_TV,深夜鬼傳說第1集｜線上看｜LINE TV-精彩隨看,https://www.linetv.tw/drama/10031
27,line_TV,孤魂第1集｜線上看｜LINE TV-精彩隨看,https://www.linetv.tw/drama/10032
28,line_TV,驅魔失控第1集｜線上看｜LINE TV-精彩隨看,https://www.linetv.tw/drama/10033
29,line_TV,舞動心跳第1集｜線上看｜LINE TV-精彩隨看,https://www.linetv.tw/drama/10034
30,line_TV,閨蜜2第1集｜線上看｜LINE TV-精彩隨看,https://www.linetv.tw/drama/10035
31,line_TV,夢鹿情謎第1集｜線上看｜LINE TV-精彩隨看,https://www.linetv.tw/drama/10036
32,line_TV,追龍第1集｜線上看｜LINE TV-精彩隨看,https://www.linetv.tw/drama/10037
33,line_TV,解憂雜貨店第1集｜線上看｜LINE TV-精彩隨看,https://www.linetv.tw/drama/10038
34,line_TV,馬麻吉3：拯救綠洲第1集｜線上看｜LINE TV-精彩隨看,https://www.linetv.tw/drama/10039
35,line_TV,魍美第1集｜線上看｜LINE TV-精彩隨看,https://www.linetv.tw/drama/10040
36,line_TV,玻璃庭院第1集｜線上看｜LINE TV-精彩隨看,https://www.linetv.tw/drama/10041
37,line_TV,老爸hold不住第1集｜線上看｜LINE TV-精彩隨看,https://www.linetv.tw/drama/10042
38,line_TV,情慾逗我心第1集｜線上看｜LINE TV-精彩隨看,https://www.linetv.tw/drama/10043
39,line_TV,時空罪犯第1集｜線上看｜LINE TV-精彩隨看,https://www.linetv.tw/drama/10044
40,line_TV,胸腔外科—盜心師第1集｜免費線上看｜韓劇｜LINE TV-精彩隨看,https://www.linetv.tw/drama/10045
41,line_TV,醉後愛上你(Together With Me)第1集｜免費線上看｜BL館｜LINE TV-精彩隨看,https://www.linetv.tw/drama/10046
42,line_TV,藥命屍樂園第1集｜線上看｜LINE TV-精彩隨看,https://www.linetv.tw/drama/10047
43,line_TV,吸血鬼僕人 劇場版第1集｜免費線上看｜動漫｜LINE TV-精彩隨看,https://www.linetv.tw/drama/10048
44,line_TV,初戀的情人第1集｜免費線上看｜台劇｜LINE TV-精彩隨看,https://www.linetv.tw/drama/10049
45,line_TV,火之丸相撲第1集｜免費線上看｜動漫｜LINE TV-精彩隨看,https://www.linetv.tw/drama/10050
46,line_TV,我讓最想被擁抱的男人給威脅了第1集｜免費線上看｜BL館｜LINE TV-精彩隨看,https://www.linetv.tw/drama/10051
47,line_TV,狐狸新娘星第1集｜免費線上看｜韓劇｜LINE TV-精彩隨看,https://www.linetv.tw/drama/10052
48,line_TV,最完美的離婚第1集｜免費線上看｜韓劇｜LINE TV-精彩隨看,https://www.linetv.tw/drama/10054
49,line_TV,盛唐幻夜第1集｜免費線上看｜陸劇｜LINE TV-精彩隨看,https://www.linetv.tw/drama/10055
50,line_TV,Radiant第1集｜免費線上看｜動漫｜LINE TV-精彩隨看,https://www.linetv.tw/drama/10056
51,line_TV,戀愛幕末男友外傳第1集｜免費線上看｜動漫｜LINE TV-精彩隨看,https://www.linetv.tw/drama/10057
52,line_TV,心動警報第1集｜免費線上看｜韓劇｜LINE TV-精彩隨看,https://www.linetv.tw/drama/10058
53,line_TV,野生廚房第1集｜免費線上看｜綜藝｜LINE TV-精彩隨看,https://www.linetv.tw/drama/10059
54,line_TV,撞鬼實錄之青鬼咒詛第1集｜線上看｜LINE TV-精彩隨看,https://www.linetv.tw/drama/10060
55,line_TV,他她他第1集｜線上看｜LINE TV-精彩隨看,https://www.linetv.tw/drama/10063
56,line_TV,一泡而紅第1集｜線上看｜LINE TV-精彩隨看,https://www.linetv.tw/drama/10064
57,line_TV,導火新聞線第1集｜線上看｜LINE TV-精彩隨看,https://www.linetv.tw/drama/10065
58,line_TV,惡鬼現身第1集｜線上看｜LINE TV-精彩隨看,https://www.linetv.tw/drama/10066
59,line_TV,惡靈公寓第1集｜線上看｜LINE TV-精彩隨看,https://www.linetv.tw/drama/10067
60,line_TV,就算死也喜歡第1集｜免費線上看｜韓劇｜LINE TV-精彩隨看,https://www.linetv.tw/drama/10069
61,line_TV,將夜第1集｜免費線上看｜陸劇｜LINE TV-精彩隨看,https://www.linetv.tw/drama/10070
62,line_TV,王貴與安娜第1集｜免費線上看｜陸劇｜LINE TV-精彩隨看,https://www.linetv.tw/drama/10071
63,line_TV,因為遇見你第1集｜免費線上看｜陸劇｜LINE TV-精彩隨看,https://www.linetv.tw/drama/10072
64,line_TV,老爸當家第1集｜免費線上看｜陸劇｜LINE TV-精彩隨看,https://www.linetv.tw/drama/10073
65,line_TV,我的岳父會武術第1集｜免費線上看｜陸劇｜LINE TV-精彩隨看,https://www.linetv.tw/drama/10074
66,line_TV,漂流遇見你漂流遇見你｜線上看｜電影｜LINE TV-精彩隨看,https://www.linetv.tw/drama/10075
67,line_TV,刺青第1集｜免費線上看｜陸劇｜LINE TV-精彩隨看,https://www.linetv.tw/drama/10076
68,line_TV,他看她的第2眼第1集｜免費線上看｜台劇｜LINE TV-精彩隨看,https://www.linetv.tw/drama/10077
69,line_TV,雙面膠第1集｜免費線上看｜陸劇｜LINE TV-精彩隨看,https://www.linetv.tw/drama/10078
70,line_TV,繼承人第1集｜免費線上看｜陸劇｜LINE TV-精彩隨看,https://www.linetv.tw/drama/10079
71,line_TV,獨家保鑣第1集｜免費線上看｜台劇｜LINE TV-精彩隨看,https://www.linetv.tw/drama/10080
72,line_TV,20之後第1集｜免費線上看｜台劇｜LINE TV-精彩隨看,https://www.linetv.tw/drama/10081
73,line_TV,我身後的陶斯第1集｜免費線上看｜韓劇｜LINE TV-精彩隨看,https://www.linetv.tw/drama/10082
74,line_TV,壞爸爸第1集｜免費線上看｜韓劇｜LINE TV-精彩隨看,https://www.linetv.tw/drama/10083
75,line_TV,果寶特攻4第1集｜免費線上看｜動漫｜LINE TV-精彩隨看,https://www.linetv.tw/drama/10084
76,line_TV,花郎第1集｜免費線上看｜韓劇｜LINE TV-精彩隨看,https://www.linetv.tw/drama/10085
77,line_TV,我家也有大明星第1集｜免費線上看｜韓劇｜LINE TV-精彩隨看,https://www.linetv.tw/drama/10086
78,line_TV,愛情的溫度第1集｜免費線上看｜韓劇｜LINE TV-精彩隨看,https://www.linetv.tw/drama/10087
79,line_TV,訓南正音第1集｜免費線上看｜韓劇｜LINE TV-精彩隨看,https://www.linetv.tw/drama/10088
80,line_TV,超人力霸王X第1集｜免費線上看｜動漫｜LINE TV-精彩隨看,https://www.linetv.tw/drama/10089
81,line_TV,浮士德的微笑第1集｜免費線上看｜台劇｜LINE TV-精彩隨看,https://www.linetv.tw/drama/10090
82,line_TV,超快感第1集｜免費線上看｜電影｜LINE TV-精彩隨看,https://www.linetv.tw/drama/10091
83,line_TV,極品絕配第1集｜免費線上看｜台劇｜LINE TV-精彩隨看,https://www.linetv.tw/drama/10092
84,line_TV,三明治女孩的逆襲第1集｜免費線上看｜台劇｜LINE TV-精彩隨看,https://www.linetv.tw/drama/10095
85,line_TV,小兒子第1集｜免費線上看｜育樂｜LINE TV-精彩隨看,https://www.linetv.tw/drama/10097
86,line_TV,醉後愛上你 台北見面會精彩片段見面會精選(上)｜線上看｜BL館｜LINE TV-精彩隨看,https://www.linetv.tw/drama/10098
87,line_TV,我的愛情不平凡第1集｜免費線上看｜台劇｜LINE TV-精彩隨看,https://www.linetv.tw/drama/10099
88,line_TV,讓愛飛揚第1集｜免費線上看｜台劇｜LINE TV-精彩隨看,https://www.linetv.tw/drama/10101
89,line_TV,阿青回家了第1集｜免費線上看｜電影｜LINE TV-精彩隨看,https://www.linetv.tw/drama/10102
90,line_TV,實習醫師鬥格第1集｜免費線上看｜台劇｜LINE TV-精彩隨看,https://www.linetv.tw/drama/10103
91,line_TV,姊的時代第1集｜免費線上看｜台劇｜LINE TV-精彩隨看,https://www.linetv.tw/drama/10104
92,line_TV,我的未來男友第1集｜免費線上看｜台劇｜LINE TV-精彩隨看,https://www.linetv.tw/drama/10105
93,line_TV,火星生活第1集｜免費線上看｜韓劇｜LINE TV-精彩隨看,https://www.linetv.tw/drama/10106
94,line_TV,獵豔情人(情婦)第1集｜免費線上看｜韓劇｜LINE TV-精彩隨看,https://www.linetv.tw/drama/10107
95,line_TV,致忘了詩的你第1集｜免費線上看｜韓劇｜LINE TV-精彩隨看,https://www.linetv.tw/drama/10108
96,line_TV,孤單又燦爛的神－鬼怪第1集｜免費線上看｜韓劇｜LINE TV-精彩隨看,https://www.linetv.tw/drama/10109
97,line_TV,武法律師(無法律師)第1集｜免費線上看｜韓劇｜LINE TV-精彩隨看,https://www.linetv.tw/drama/10110
98,line_TV,推理的女王第1集｜免費線上看｜韓劇｜LINE TV-精彩隨看,https://www.linetv.tw/drama/10111
99,line_TV,艾蜜麗的五件事第1集｜免費線上看｜台劇｜LINE TV-精彩隨看,https://www.linetv.tw/drama/10112
100,line_TV,入贅丈夫吳作鬥第1集｜免費線上看｜韓劇｜LINE TV-精彩隨看,https://www.linetv.tw/drama/10113
101,line_TV,賽爾號大電影3-戰神聯盟第1集｜免費線上看｜動漫｜LINE TV-精彩隨看,https://www.linetv.tw/drama/10114
102,line_TV,賽爾號S5-獵天困獸第1集｜免費線上看｜動漫｜LINE TV-精彩隨看,https://www.linetv.tw/drama/10115
103,line_TV,公視新創電影：不發火第1集｜免費線上看｜電影｜LINE TV-精彩隨看,https://www.linetv.tw/drama/10116
104,line_TV,公視新創電影：廉價勞工第1集｜免費線上看｜電影｜LINE TV-精彩隨看,https://www.linetv.tw/drama/10117
105,line_TV,公視新創電影：絕對領域第1集｜免費線上看｜電影｜LINE TV-精彩隨看,https://www.linetv.tw/drama/10118
106,line_TV,公視新創電影：黑白鍵第1集｜免費線上看｜電影｜LINE TV-精彩隨看,https://www.linetv.tw/drama/10119
107,line_TV,公視新創電影：伊菲基妮亞之夜第1集｜免費線上看｜電影｜LINE TV-精彩隨看,https://www.linetv.tw/drama/10120
108,line_TV,公視新創電影：錢莊聽來的事第1集｜免費線上看｜電影｜LINE TV-精彩隨看,https://www.linetv.tw/drama/10121
109,line_TV,他們在畢業的前一天爆炸2第1集｜免費線上看｜台劇｜LINE TV-精彩隨看,https://www.linetv.tw/drama/10122
110,line_TV,魔幻對決第1集｜免費線上看｜台劇｜LINE TV-精彩隨看,https://www.linetv.tw/drama/10123
111,line_TV,奇蹟的女兒第1集｜免費線上看｜台劇｜LINE TV-精彩隨看,https://www.linetv.tw/drama/10124
112,line_TV,你的孩子不是你的孩子第1集｜免費線上看｜台劇｜LINE TV-精彩隨看,https://www.linetv.tw/drama/10125
113,line_TV,BTS 防彈少年團第1集｜免費線上看｜綜藝｜LINE TV-精彩隨看,https://www.linetv.tw/drama/10126
114,line_TV,妳的管家第1集｜免費線上看｜韓劇｜LINE TV-精彩隨看,https://www.linetv.tw/drama/10127
115,line_TV,看戲修心 · 演戲修行看戲修心 · 演戲修行｜線上看｜電影｜LINE TV-精彩隨看,https://www.linetv.tw/drama/10129
116,line_TV,今日免費版-大家說英語今日影片｜免費線上看｜語言學習｜LINE TV-精彩隨看,https://www.linetv.tw/drama/10130
117,line_TV,今日免費版-空中英語教室今日影片｜免費線上看｜語言學習｜LINE TV-精彩隨看,https://www.linetv.tw/drama/10131
118,line_TV,超人力霸王銀河S-劇場版第1集｜線上看｜動漫｜LINE TV-精彩隨看,https://www.linetv.tw/drama/10132
119,line_TV,人不彪悍枉少年第1集｜免費線上看｜陸劇｜LINE TV-精彩隨看,https://www.linetv.tw/drama/10133
120,line_TV,鋼索上的愛情第1集｜線上看｜LINE TV-精彩隨看,https://www.linetv.tw/drama/10134
121,line_TV,沉默真相第1集｜線上看｜LINE TV-精彩隨看,https://www.linetv.tw/drama/10135
122,line_TV,撞鬼實錄之地縛惡靈第1集｜線上看｜LINE TV-精彩隨看,https://www.linetv.tw/drama/10136
123,line_TV,老獸第1集｜線上看｜LINE TV-精彩隨看,https://www.linetv.tw/drama/10137
